,Timestamp of Tweet,Tweet Text,Twitter Handle,Is Republican
0,2020-09-12 21:56:57,"RT @rpof_gamble: Rain🌧 or Shine🌞, Raquel &amp; I are hitting doors for @realDonaldTrump in Hialeah today😃🇺🇸! #Cat5Calvary #LeadRight https://t.…",GOP,1
1,2020-09-12 21:55:09,RT @mfreckletonGOP: The road to November continues! Team @JohnJamesMI and #TVMI20 continuing to talk to voters across the state. Michigan i…,GOP,1
2,2020-09-12 21:54:40,RT @oliviaintheusa: Trump Victory Fellow &amp; Campus Team Leader Carson is teaching his classmate Caleb how to canvas with @SidekickHQ for Rep…,GOP,1
3,2020-09-12 21:53:56,"RT @EliseStefanik: HUGE enthusiasm for @realDonaldTrump at our @TeamTrump Rally in Cambridge #NY21! 

The North Country is Trump and Elise…",GOP,1
4,2020-09-12 21:52:12,"RT @sukyeesmith: Incredible #VeteransForTrump and #SportsmenforTrump blessed to hear from @JohnTiegen and Congressman Perry at Harrisburg,…",GOP,1
5,2020-09-12 21:50:20,"RT @MsGailWilson: Milkshake break with @GDouglasiii! 

We are heading back to the neighborhood again to knock on doors for President @realD…",GOP,1
6,2020-09-12 21:49:04,RT @AdamLaxalt: The Trump boat parade is getting ready to welcome @realDonaldTrump to Nevada! A huge turnout on Lake Mead ready to set sail…,GOP,1
7,2020-09-12 21:30:01,"This Election is critical to the future of this country.
 
That’s why it’s so important that you volunteer and help the Trump Victory team on Election Day!
 
Sign up now!
https://t.co/Tk3OrVO9iF",GOP,1
8,2020-09-12 19:30:03,"“Senate Democrats are now on record as voting against aid to businesses and money for the unemployed because their real priority is subsidizing progressive-state politicians and interest groups.”
https://t.co/fGWQEN9eyE",GOP,1
9,2020-09-12 18:08:16,“The President is ringing a warning bell that Democrats are not standing up to this type of violence.” -@GOPChairwoman https://t.co/DtxUTxnEXW,GOP,1
10,2020-09-12 18:00:09,"V O T E !
 
Are you registered?
 
Check here ⬇️
https://t.co/r4SeVzEaIf",GOP,1
11,2020-09-12 16:30:26,"“This President put the health of America first from day one, but he also wanted to reassure the American people all along the way.” -@Mike_Pence https://t.co/6tlKLX4tEI",GOP,1
12,2020-09-12 15:05:36,"RT @GOPChairwoman: The energy we are seeing for @realDonaldTrump is even higher than it was in 2016!
 
And in every battleground state, we…",GOP,1
